,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,ASV,Curated_v4,occurrence,occur,totalrelabunMax,totalrelabun_max_class,phytorelabunMax,phytorelabun_max_class,phytorelabunMedian,order_original,Curated_kind,CuratedASV,Genus_ASV,order.heatmap,Order.tax.heatmap,CO_log2FoldChange,CO_padj,CO_baseMean,Coastal_Offshore,CT_log2FoldChange,CT_padj,CT_baseMean,Coastal_Transition,TO_log2FoldChange,TO_padj,TO_baseMean,Transition_Offshore,DeSeq_Spatial,v2_Offshore_periodicity_qval,v2_Periodicity_Offshore,v2_Transition_periodicity_qval,v2_Periodicity_Transition,v2_Coastal_periodicity_qval,v2_Periodicity_Coastal,Periodicity_Spatial_v2
406bb14741ded383380219611b8564d9,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,unclassified_Mamiellaceae,,406bb14741ded383380219611b8564d9,Archaeplastida:Mamiellophyceae,frequent,86.89,3.04,abundant,8.72,abundant,0.97,352,Phyto,ASV220,unclassified_Mamiellaceae_ASV220,11,B_Archaeplastida:Mamiellophyceae_unclassified_Mamiellaceae_ASV220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001216876,v2_periodic_Transition,4.35E-13,v2_periodic_Coastal,Periodic_v2
300296cb89902c1721ff71f7cbc316b7,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,unclassified_Mamiellaceae,,300296cb89902c1721ff71f7cbc316b7,Archaeplastida:Mamiellophyceae,frequent,97.54,5.81,abundant,20.9,abundant,2.79,351,Phyto,ASV231,unclassified_Mamiellaceae_ASV231,12,B_Archaeplastida:Mamiellophyceae_unclassified_Mamiellaceae_ASV231,-1.559207082,2.01E-09,506.3319597,Coastal_Offshore,-1.825433826,1.87E-17,506.3319597,Coastal_Transition,NA,NA,NA,NA,DeSeq_Spatial,NA,NA,NA,NA,1.24E-05,v2_periodic_Coastal,Periodic_v2
52cabdec57d89b6398eee15c5fb93006,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,unclassified_Mamiellaceae,,52cabdec57d89b6398eee15c5fb93006,Archaeplastida:Mamiellophyceae,rare,1.37,0.19,minor,0.74,abundant,0,3641,Phyto,ASV46,unclassified_Mamiellaceae_ASV46,13,B_Archaeplastida:Mamiellophyceae_unclassified_Mamiellaceae_ASV46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
af4837e862b10d7ddccc1b0885fc77c8,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,unclassified_Mamiellaceae,,af4837e862b10d7ddccc1b0885fc77c8,Archaeplastida:Mamiellophyceae,rare,1.09,0.2,minor,0.58,abundant,0,3642,Phyto,ASV53,unclassified_Mamiellaceae_ASV53,14,B_Archaeplastida:Mamiellophyceae_unclassified_Mamiellaceae_ASV53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49db984d738a8889309dfffd963f5a75,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,unclassified_Micromonas,49db984d738a8889309dfffd963f5a75,Archaeplastida:Micromonas,frequent,92.08,1.77,abundant,3.84,abundant,0.77,350,Phyto,ASV198,Micromonas_ASV198,15,B_Archaeplastida:Micromonas_Micromonas_ASV198,-1.110903005,2.73E-06,95.95402869,Coastal_Offshore,NA,NA,NA,NA,-1.385063216,5.99E-07,95.95402869,Transition_Offshore,DeSeq_Spatial,0.001029618,v2_periodic_Offshore,NA,NA,NA,NA,Periodic_v2
c289fa66402d05b139a37184d8e4180e,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,unclassified_Micromonas,c289fa66402d05b139a37184d8e4180e,Archaeplastida:Micromonas,common,66.12,1.85,abundant,9.96,abundant,0.5,345,Phyto,ASV201,Micromonas_ASV201,16,B_Archaeplastida:Micromonas_Micromonas_ASV201,-1.283769375,0.018026409,135.8968764,Coastal_Offshore,-1.644664918,0.000279966,135.8968764,Coastal_Transition,NA,NA,NA,NA,DeSeq_Spatial,1.28E-05,v2_periodic_Offshore,NA,NA,2.20E-06,v2_periodic_Coastal,Periodic_v2
230fe9b9f06cfb26e80419c5bda4d5ae,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,unclassified_Micromonas,230fe9b9f06cfb26e80419c5bda4d5ae,Archaeplastida:Micromonas,rare,0.55,0.26,minor,0.86,abundant,0,349,Phyto,ASV79,Micromonas_ASV79,17,B_Archaeplastida:Micromonas_Micromonas_ASV79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ba8a34138faff25a32e8fca2df7342d1,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,unclassified_Ostreococcus,ba8a34138faff25a32e8fca2df7342d1,Archaeplastida:Ostreococcus,common,41.26,2.28,abundant,6.05,abundant,0,355,Phyto,ASV214,Ostreococcus_ASV214,18,B_Archaeplastida:Ostreococcus_Ostreococcus_ASV214,-2.378935158,0.003656428,86.52793932,Coastal_Offshore,-1.478366589,0.044363627,86.52793932,Coastal_Transition,NA,NA,NA,NA,DeSeq_Spatial,3.19E-19,v2_periodic_Offshore,1.90E-11,v2_periodic_Transition,1.17E-38,v2_periodic_Coastal,Periodic_v2
024dcc1ab6ba58bbb754448afd9c1127,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,unclassified_Ostreococcus,024dcc1ab6ba58bbb754448afd9c1127,Archaeplastida:Ostreococcus,common,74.86,4.01,abundant,12.75,abundant,0.52,357,Phyto,ASV226,Ostreococcus_ASV226,19,B_Archaeplastida:Ostreococcus_Ostreococcus_ASV226,1.034320576,0.017362274,119.7065492,Coastal_Offshore,-1.659029723,2.09E-06,119.7065492,Coastal_Transition,2.693350299,1.24E-08,119.7065492,Transition_Offshore,DeSeq_Spatial,NA,NA,0.000724093,v2_periodic_Transition,6.25E-05,v2_periodic_Coastal,Periodic_v2
26c4bf94339bbcabcf2b9e16f24427c7,Eukaryota_plas,Archaeplastida,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloropicon,unclassified_Chloropicon,26c4bf94339bbcabcf2b9e16f24427c7,Archaeplastida:Chloropicon,frequent,83.88,2.12,abundant,6.11,abundant,0.5,3578,Phyto,ASV208,Chloropicon_ASV208,20,B_Archaeplastida:Other_Chloropicon_ASV208,4.681244546,1.50E-49,75.66293329,Coastal_Offshore,1.335405905,1.20E-08,75.66293329,Coastal_Transition,3.345838642,4.19E-21,75.66293329,Transition_Offshore,DeSeq_Spatial,NA,NA,NA,NA,0.00515198,v2_periodic_Coastal,Periodic_v2
c9d76145d803bdecdabfe8ddc0aa4ac5,Eukaryota_plas,Archaeplastida,Chlorophyta,Ulvophyceae,Ulvales-relatives,Ulvales-relatives_X,Desmochloris,Desmochloris_halophila,c9d76145d803bdecdabfe8ddc0aa4ac5,Archaeplastida:Other,rare,0.55,0.37,minor,1.88,abundant,0,3753,Phyto,ASV112,Desmochloris_ASV112,21,B_Archaeplastida:Other_Desmochloris_ASV112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
db5225c9a18c27b63c92b9c179b14a1d,Eukaryota_plas,Archaeplastida,Chlorophyta,Ulvophyceae,Ulvales-relatives,Ulvales-relatives_X,Desmochloris,Desmochloris_halophila,db5225c9a18c27b63c92b9c179b14a1d,Archaeplastida:Other,rare,0.55,0.31,minor,1.58,abundant,0,3754,Phyto,ASV97,Desmochloris_ASV97,22,B_Archaeplastida:Other_Desmochloris_ASV97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0032fa9e7bb07ae8dd0a4958274ddae9,Eukaryota_plas,Archaeplastida,Chlorophyta,Prasino-Clade-9,Prasino-Clade-9_X,Prasino-Clade-9_XX,Prasino-Clade-9_XXX,Prasino-Clade-9_XXX_sp.,0032fa9e7bb07ae8dd0a4958274ddae9,Archaeplastida:Other,rare,9.29,0.13,minor,0.5,abundant,0,3783,Phyto,ASV13,Prasino-Clade-9_XXX_ASV13,23,B_Archaeplastida:Other_Prasino-Clade-9_XXX_ASV13,-7.450569557,4.06E-09,4.27795301,Coastal_Offshore,-2.573593305,0.03305818,4.27795301,Coastal_Transition,-4.876976252,0.001843607,4.27795301,Transition_Offshore,DeSeq_Spatial,NA,NA,NA,NA,NA,NA,NA
2625290899b205f7d8a3a6a36a4b4430,Eukaryota_plas,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas_disomata,2625290899b205f7d8a3a6a36a4b4430,Archaeplastida:Other,rare,6.01,0.34,minor,1.39,abundant,0,3696,Phyto,ASV106,Pyramimonas_ASV106,24,B_Archaeplastida:Other_Pyramimonas_ASV106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6ce8db6d8ee1fdaa3e32fbf15415a65b,Eukaryota_plas,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas_sp.,6ce8db6d8ee1fdaa3e32fbf15415a65b,Archaeplastida:Other,common,47.81,0.62,abundant,1.72,abundant,0,3688,Phyto,ASV147,Pyramimonas_ASV147,25,B_Archaeplastida:Other_Pyramimonas_ASV147,3.915655456,9.87E-13,11.93676542,Coastal_Offshore,1.971319097,6.32E-06,11.93676542,Coastal_Transition,1.944336359,0.004110022,11.93676542,Transition_Offshore,DeSeq_Spatial,NA,NA,NA,NA,NA,NA,NA
913910085577b60c29fc5676fc4e6e8c,Eukaryota_plas,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas_disomata,913910085577b60c29fc5676fc4e6e8c,Archaeplastida:Other,common,53.28,0.72,abundant,1.81,abundant,0.05,3697,Phyto,ASV152,Pyramimonas_ASV152,26,B_Archaeplastida:Other_Pyramimonas_ASV152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00281123,v2_periodic_Transition,NA,NA,Periodic_v2
1b1742d585f5f1ace45e5ba9a92ee07d,Eukaryota_plas,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,unclassified_Pyramimonas,1b1742d585f5f1ace45e5ba9a92ee07d,Archaeplastida:Other,common,48.09,0.93,abundant,3.14,abundant,0,3691,Phyto,ASV175,Pyramimonas_ASV175,27,B_Archaeplastida:Other_Pyramimonas_ASV175,-2.197878162,0.00022315,19.64779054,Coastal_Offshore,-1.954006889,0.000138894,19.64779054,Coastal_Transition,NA,NA,NA,NA,DeSeq_Spatial,NA,NA,NA,NA,NA,NA,NA
b0dba0147194c2bf5465c38eaa04e559,Eukaryota_plas,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas_sp.,b0dba0147194c2bf5465c38eaa04e559,Archaeplastida:Other,common,68.03,0.96,abundant,5.02,abundant,0.15,3689,Phyto,ASV177,Pyramimonas_ASV177,28,B_Archaeplastida:Other_Pyramimonas_ASV177,NA,NA,NA,NA,0.854181037,0.034374113,32.10157893,Coastal_Transition,NA,NA,NA,NA,DeSeq_Spatial,NA,NA,NA,NA,2.31E-07,v2_periodic_Coastal,Periodic_v2
b4920ec900c0b6bce713a5f61ebcd38c,Eukaryota_plas,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas_tetrarhynchus,b4920ec900c0b6bce713a5f61ebcd38c,Archaeplastida:Other,rare,3.28,0.14,minor,0.63,abundant,0,3692,Phyto,ASV18,Pyramimonas_ASV18,29,B_Archaeplastida:Other_Pyramimonas_ASV18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32769a9cdf9984d0acd50a3b3cb4b5a1,Eukaryota_plas,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas_olivacea,32769a9cdf9984d0acd50a3b3cb4b5a1,Archaeplastida:Other,common,11.48,0.18,minor,0.56,abundant,0,3695,Phyto,ASV40,Pyramimonas_ASV40,30,B_Archaeplastida:Other_Pyramimonas_ASV40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1800b0e4ab7fe914031e4b6bcecdc70c,Eukaryota_plas,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,unclassified_Chlamydomonadales_X,,1800b0e4ab7fe914031e4b6bcecdc70c,Archaeplastida:Other,rare,5.74,0.4,minor,2.05,abundant,0,3758,Phyto,ASV120,unclassified_Chlamydomonadales_X_ASV120,31,B_Archaeplastida:Other_unclassified_Chlamydomonadales_X_ASV120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2b3c3d1f367f316274c94349372be56f,Eukaryota_plas,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,unclassified_Chlorellales_X,,2b3c3d1f367f316274c94349372be56f,Archaeplastida:Other,common,11.75,0.48,minor,1.29,abundant,0,3580,Phyto,ASV130,unclassified_Chlorellales_X_ASV130,32,B_Archaeplastida:Other_unclassified_Chlorellales_X_ASV130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000154,v2_periodic_Coastal,Periodic_v2
1c137bbf4805fde6c2c69690ae37f303,Eukaryota_plas,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,unclassified_Chlorellales_X,,1c137bbf4805fde6c2c69690ae37f303,Archaeplastida:Other,rare,7.65,2.21,abundant,3.63,abundant,0,3579,Phyto,ASV213,unclassified_Chlorellales_X_ASV213,33,B_Archaeplastida:Other_unclassified_Chlorellales_X_ASV213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d7676849144b7e62e70d06262fecca34,Eukaryota_plas,Archaeplastida,unclassified_Archaeplastida,,,,,,d7676849144b7e62e70d06262fecca34,Archaeplastida:Other,common,33.33,0.76,abundant,1.84,abundant,0,3775,Phyto,ASV159,_ASV159,34,B_Archaeplastida:Other__ASV159,3.580656585,9.54E-08,4.423434389,Coastal_Offshore,1.720278284,0.002720504,4.423434389,Coastal_Transition,1.860378301,0.028559251,4.423434389,Transition_Offshore,DeSeq_Spatial,NA,NA,NA,NA,3.13E-15,v2_periodic_Coastal,Periodic_v2
efd9be6e5ad49f28be30f42932f882e8,Eukaryota_plas,Archaeplastida,Chlorophyta,Pedinophyceae,Marsupiomonadales,Marsupiomonadaceae,Marsupiomonas,Marsupiomonas_pelliculata,efd9be6e5ad49f28be30f42932f882e8,Archaeplastida:Other,rare,9.29,2.02,abundant,7.01,abundant,0,3687,Phyto,ASV206,Marsupiomonas_ASV206,35,B_Archaeplastida:Pedinophyceae_Marsupiomonas_ASV206,NA,NA,NA,NA,3.303735847,0.026773767,1.979568212,Coastal_Transition,NA,NA,NA,NA,DeSeq_Spatial,NA,NA,NA,NA,NA,NA,NA
83bd0cb9b9e313ae5a863dcb031a23ac,Eukaryota_plas,Archaeplastida,Chlorophyta,Pedinophyceae,Pedinomonadales,Pedinomonadaceae,Resultor,Resultor_mikron,83bd0cb9b9e313ae5a863dcb031a23ac,Archaeplastida:Other,common,15.57,1.68,abundant,5.83,abundant,0,3761,Phyto,ASV197,Resultor_ASV197,36,B_Archaeplastida:Pedinophyceae_Resultor_ASV197,2.794562718,0.022082282,2.412695032,Coastal_Offshore,3.299897819,0.001402728,2.412695032,Coastal_Transition,NA,NA,NA,NA,DeSeq_Spatial,NA,NA,NA,NA,NA,NA,NA
00261482f21b019fa05f1137e7b28a4a,Eukaryota_plas,Archaeplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,unclassified_Tetraselmis,00261482f21b019fa05f1137e7b28a4a,Archaeplastida:Tetraselmis,rare,0.55,0.37,minor,1.49,abundant,0,3572,Phyto,ASV113,Tetraselmis_ASV113,37,B_Archaeplastida:Tetraselmis_Tetraselmis_ASV113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
982fc4470e8c79029b9ba8a3ae883857,Eukaryota_plas,Archaeplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,unclassified_Tetraselmis,982fc4470e8c79029b9ba8a3ae883857,Archaeplastida:Tetraselmis,rare,3.83,0.38,minor,1.16,abundant,0,3570,Phyto,ASV117,Tetraselmis_ASV117,38,B_Archaeplastida:Tetraselmis_Tetraselmis_ASV117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90c7927d6b76026951d71634254cdb4f,Eukaryota_plas,Archaeplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,unclassified_Tetraselmis,90c7927d6b76026951d71634254cdb4f,Archaeplastida:Tetraselmis,common,23.22,0.78,abundant,3.18,abundant,0,3574,Phyto,ASV162,Tetraselmis_ASV162,39,B_Archaeplastida:Tetraselmis_Tetraselmis_ASV162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008163139,v2_periodic_Transition,NA,NA,Periodic_v2
52825bc2eae0c2aaa70700caf5a491e5,Eukaryota_plas,Archaeplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,unclassified_Tetraselmis,52825bc2eae0c2aaa70700caf5a491e5,Archaeplastida:Tetraselmis,common,18.03,0.79,abundant,4.96,abundant,0,3564,Phyto,ASV163,Tetraselmis_ASV163,40,B_Archaeplastida:Tetraselmis_Tetraselmis_ASV163,NA,NA,NA,NA,-2.686224775,0.016461599,12.85003451,Coastal_Transition,NA,NA,NA,NA,DeSeq_Spatial,NA,NA,NA,NA,0.007397515,v2_periodic_Coastal,Periodic_v2
7561219e3e5c8117e4643a6ce162a83c,Eukaryota_plas,Archaeplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,unclassified_Tetraselmis,7561219e3e5c8117e4643a6ce162a83c,Archaeplastida:Tetraselmis,rare,1.91,0.15,minor,0.6,abundant,0,3565,Phyto,ASV20,Tetraselmis_ASV20,41,B_Archaeplastida:Tetraselmis_Tetraselmis_ASV20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4801416d0b718170ba5bb7218e243280,Eukaryota_plas,Archaeplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,unclassified_Tetraselmis,4801416d0b718170ba5bb7218e243280,Archaeplastida:Tetraselmis,common,62.3,2.15,abundant,10.29,abundant,0.14,3576,Phyto,ASV209,Tetraselmis_ASV209,42,B_Archaeplastida:Tetraselmis_Tetraselmis_ASV209,1.215424207,0.023540603,40.22000764,Coastal_Offshore,NA,NA,NA,NA,1.923444703,0.001835903,40.22000764,Transition_Offshore,DeSeq_Spatial,NA,NA,NA,NA,NA,NA,NA
