OTUID,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,ASV,Domain_confidence,Supergroup_confidence,Phylum_confidence,Class_confidence ,Order_confidence,Family_confidence,Genus_confidence,Species_confidence
e12270ee12d2ec3a3218c77ae8e71619, Eukaryota, Archaeplastida, Chlorophyta, Chlorodendrophyceae, Chlorodendrales, Chlorodendraceae, Chlorodendrales_XX, Chlorodendrales_XX_sp.,e12270ee12d2ec3a3218c77ae8e71619,82.8,82.8,82.8,76.5,76.5,76.5,60.8,60.8
e205b6abf77c72217bc09d8b1566844b, unclassified_Root,,,,,,,,e205b6abf77c72217bc09d8b1566844b,48.9,,,,,,,
e29e11c27cdd65f6bfe09c4840091cc8, Eukaryota:plas, Hacrobia:plas, Haptophyta:plas, Prymnesiophyceae:plas, Prymnesiophyceae_X:plas, Prymnesiophyceae_XX:plas, Prymnesiophyceae_XXX:plas, Prymnesiophyceae_XXX_sp.:plas,e29e11c27cdd65f6bfe09c4840091cc8,100,100,100,100,87.4,65,65,65
e305d2c39822214eb19e1f9c40b807c4, Eukaryota:plas, Hacrobia:plas, Haptophyta:plas, Prymnesiophyceae:plas, Prymnesiales:plas, unclassified_Prymnesiales:plas,,,e305d2c39822214eb19e1f9c40b807c4,87.6,87,87,87,78.1,78.1,,
e3355ea291d5e6bc8d6b031f883d1ebb, unclassified_Root,,,,,,,,e3355ea291d5e6bc8d6b031f883d1ebb,52.5,,,,,,,
e35a8b96b75918b586187edef30deeff, unclassified_Root,,,,,,,,e35a8b96b75918b586187edef30deeff,45.5,,,,,,,
e3701b568682103256a897e7da7ce96b, Eukaryota, Alveolata, Dinoflagellata, Dinophyceae, unclassified_Dinophyceae,,,,e3701b568682103256a897e7da7ce96b,74.5,74.5,74,73.1,73.1,,,
e39ce2cf76ea3dc7d8e11c1d53bde6e5, Eukaryota, Stramenopiles, Sagenista, MAST-7, MAST-7B, MAST-7B_X, MAST-7B_XX, MAST-7B_XX_sp.,e39ce2cf76ea3dc7d8e11c1d53bde6e5,100,100,100,100,100,100,100,100
e3bad245be46508bf90676fdcc0ca26b, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bacillariophyta:plas, Bacillariophyta_X:plas, Polar-centric-Mediophyceae:plas, unclassified_Polar-centric-Mediophyceae:plas,,e3bad245be46508bf90676fdcc0ca26b,99.2,99.2,99.2,99.2,99.2,69.2,69.2,
e4117e6a3d7ece34851125e6d0191fbe, Eukaryota:plas, Hacrobia:plas, Haptophyta:plas, Prymnesiophyceae:plas, unclassified_Prymnesiophyceae:plas,,,,e4117e6a3d7ece34851125e6d0191fbe,83.5,82.6,82.6,82.6,82.6,,,
e413f043c041cf47bcb55a384bc1a35f, Eukaryota, Stramenopiles, Ochrophyta, Bacillariophyta, Bacillariophyta_X, Polar-centric-Mediophyceae, Thalassiosira, unclassified_Thalassiosira,e413f043c041cf47bcb55a384bc1a35f,100,100,100,100,100,100,88.9,88.9
e503f09fa03c47753777415f5c738362, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, unclassified_Ochrophyta:plas,,,,,e503f09fa03c47753777415f5c738362,78,77.2,77.2,77.2,,,,
e5a35d824858b0a8c85ae863af9caed0, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Chrysophyceae:plas, Chrysophyceae_X:plas, Chrysophyceae_Clade_C:plas, Ochromonas:plas, Ochromonas_sp.:plas,e5a35d824858b0a8c85ae863af9caed0,100,100,100,100,100,80.5,80.5,80.5
e5adae9e96a5065fb7a94a7db136332e, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bacillariophyta:plas, Bacillariophyta_X:plas, Polar-centric-Mediophyceae:plas, unclassified_Polar-centric-Mediophyceae:plas,,e5adae9e96a5065fb7a94a7db136332e,100,100,100,100,100,79.2,79.2,
e6173e452880e46b03dc2766f79d6e0b, Eukaryota, Alveolata, Dinoflagellata, Dinophyceae, unclassified_Dinophyceae,,,,e6173e452880e46b03dc2766f79d6e0b,100,97.8,97.8,97.8,97.8,,,
e6d09523bc6e378b2f16e55085514e61, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bacillariophyta:plas, Bacillariophyta_X:plas, unclassified_Bacillariophyta_X:plas,,,e6d09523bc6e378b2f16e55085514e61,98.9,98.9,98.9,98.9,98.9,98.9,,
e6ec87c954d7ba77caccf903e3ae6e7b, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Chrysophyceae:plas, Chrysophyceae_X:plas, Chrysophyceae_XX:plas, Chrysophyceae_XXX:plas, Chrysophyceae_XXX_sp.:plas,e6ec87c954d7ba77caccf903e3ae6e7b,81.4,80.5,80.5,80.5,80.5,80.5,80.5,80.5
e7007f06152961ba354745ba92e2f390, Eukaryota, Alveolata, Dinoflagellata, Dinophyceae, Gymnodiniales, Warnowiaceae, Warnowia, Warnowia_sp.,e7007f06152961ba354745ba92e2f390,91.3,91.3,91.3,91.3,89.5,85.8,80.4,80.4
e721377e7a5dfe9ed806494a49b68f87, Eukaryota, Alveolata, Dinoflagellata, Syndiniales, Dino-Group-III, Dino-Group-III_X, Dino-Group-III_XX, Dino-Group-III_XX_sp.,e721377e7a5dfe9ed806494a49b68f87,100,100,100,96.1,96.1,96.1,96.1,96.1
e7f8dcfdeb9418492ad7e1e941f117fe, Eukaryota:plas, Hacrobia:plas, Haptophyta:plas, Prymnesiophyceae:plas, Prymnesiales:plas, unclassified_Prymnesiales:plas,,,e7f8dcfdeb9418492ad7e1e941f117fe,82.2,78.8,78.8,78.8,60.4,60.4,,
e829d54e9fd858af03702e1957458392, Eukaryota, Hacrobia, Telonemia, Telonemia_X, Telonemia_XX, unclassified_Telonemia_XX,,,e829d54e9fd858af03702e1957458392,98.9,98.9,98.9,98.9,98.9,98.9,,
e83f1331d831957ae3c6c0376180c944, Eukaryota, Alveolata, Dinoflagellata, Dinophyceae, Gonyaulacales, Goniodomataceae, Alexandrium, unclassified_Alexandrium,e83f1331d831957ae3c6c0376180c944,95.8,95.8,95.8,95.8,95.8,95.8,95.1,95.1
e8445e0b9c8d35e2a59579a2fef6dca6, Eukaryota:plas, unclassified_Eukaryota:plas,,,,,,,e8445e0b9c8d35e2a59579a2fef6dca6,66.1,66.1,,,,,,
e88ec73906480417463900df56958296, unclassified_Root,,,,,,,,e88ec73906480417463900df56958296,41.2,,,,,,,
e8d84351569bd995d7156b5551f3da90, Eukaryota, Stramenopiles, Ochrophyta, Bacillariophyta, Bacillariophyta_X, Polar-centric-Mediophyceae, Chaetoceros, Chaetoceros_decipiens,e8d84351569bd995d7156b5551f3da90,96.7,96.7,96.7,96.7,96.7,96.1,94.1,91.6
e959ca7e36f32c92a779869667dd9e1b, Eukaryota, Stramenopiles, Pseudofungi, MAST-1, MAST-1D, MAST-1D_X, MAST-1D_XX, MAST-1D_XX_sp.,e959ca7e36f32c92a779869667dd9e1b,94.7,94,94,94,94,94,94,94
e9b200564f2df0cd5e71b4349b1bf9c7, unclassified_Root,,,,,,,,e9b200564f2df0cd5e71b4349b1bf9c7,53.1,,,,,,,
