OTUID,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,ASV
c29acc46c22901990629dc066fb2600a,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__OM60(NOR5)_clade,,c29acc46c22901990629dc066fb2600a
a308913ebf460c3536e10163a6fc5f2a,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__OM60(NOR5)_clade,,a308913ebf460c3536e10163a6fc5f2a
870c286abe5aba75480299c49941488b,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__OM60(NOR5)_clade,,870c286abe5aba75480299c49941488b
ec39182d39cb55954d6bcd92e2c6d899,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,,,ec39182d39cb55954d6bcd92e2c6d899
2728f8be23051aa30438c73be5ce26bb,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__Parahaliea,D_6__uncultured_gamma,2728f8be23051aa30438c73be5ce26bb
46c493fc9987fc29693d3059176d0d89,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,,,46c493fc9987fc29693d3059176d0d89
a356bdb76ffe8bfcb36de7e4a414a0ec,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,,,a356bdb76ffe8bfcb36de7e4a414a0ec
6cf498a6c84ee397952efb01b6936333,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,,,6cf498a6c84ee397952efb01b6936333
91b5f834022646cc8b6a24e3ae6b6621,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,,,91b5f834022646cc8b6a24e3ae6b6621
710e932dba9c42db09cc441925fb731f,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__Parahaliea,D_6__uncultured_gamma,710e932dba9c42db09cc441925fb731f
fe4e334bb68d006606f951034f2471b5,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__OM60(NOR5)_clade,,fe4e334bb68d006606f951034f2471b5
