,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,ASV,Curated
410f6e91fcd5f902f965c9a316d0405d,D_0__Bacteria,D_0__Bacteria,,,,,,,410f6e91fcd5f902f965c9a316d0405d,
c6554aacba4a99be2c5950c7d94dd9bd,D_0__Bacteria,D_0__Bacteria,,,,,,,c6554aacba4a99be2c5950c7d94dd9bd,
3ab9a5c5e3e37ba209f13bdaa03734e7,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,,,,,,3ab9a5c5e3e37ba209f13bdaa03734e7,
033c79793f73d6bdc1f2cf4abb5dee1b,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,,,,,033c79793f73d6bdc1f2cf4abb5dee1b,
1cf3c7af0d76e40609b08a8de27df879,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,,,,,,1cf3c7af0d76e40609b08a8de27df879,
287a761fe20fee5bd2898afda1e158f7,D_0__Bacteria,D_0__Bacteria,,,,,,,287a761fe20fee5bd2898afda1e158f7,
8cfefe5a02f75aceed4ed5efa619a967,D_0__Bacteria,D_0__Bacteria,,,,,,,8cfefe5a02f75aceed4ed5efa619a967,
7dde13719a5b0b5f3966969a81e0b20f,D_0__Bacteria,D_0__Bacteria,,,,,,,7dde13719a5b0b5f3966969a81e0b20f,
a6895f77d42d9147f0ffc75b453971f1,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,,,,,a6895f77d42d9147f0ffc75b453971f1,
f9118f91dcda027fe2e0367496ca3bbe,D_0__Bacteria,D_0__Bacteria,D_1__Bacteroidota,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Cryomorphaceae,,,f9118f91dcda027fe2e0367496ca3bbe,
81168589479cd09ca8d77c2d101890c1,D_0__Bacteria,D_0__Bacteria,,,,,,,81168589479cd09ca8d77c2d101890c1,
f30522a0cf4613f1676c89aedce3c4d5,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,,,,,,f30522a0cf4613f1676c89aedce3c4d5,
