bins	HOT_224_25M	HOT_225_25M	HOT_226_25M	HOT_227_25M	HOT_229_25M	HOT_231_25M	HOT_232_25M	HOT_233_25M	HOT_234_25M	HOT_236_25M	HOT_237_25M	HOT_238_25M	KFe386HP	KFe387AR	KFe389R8	KFe393NT	KFe395NB	KFe416ST	KMa156HP	KMa157AR	KMa158CB	KMa159R8	KMa160SB	KMa161R2	KMa162ST	KMa163NT	KMa164NR	KMa165NB	KOc290HP	KOc291AR	KOc293R8	KOc297NT	KOc299NB	KOc321ST	KSe054HP	KSe055AR	KSe056CB	KSe057R8	KSe058SB	KSe059R2	KSe060ST	KSe061NT	KSe062NR	KSe063NB
MIT9107	0.8102164962583908	0.7674743240484795	0.7414092404600876	0.7733474828773066	0.8174867656860225	0.8316049359476263	0.8183632687564304	0.8088040909751362	0.7791688750818413	0.7813695448713688	0.820541584776377	0.80996766350753	0.01885305161308919	0.023970300075826338	0.09716301251164014	0.606310704455518	0.16894743746385896	0.6273685436577944	0.10360325117930841	0.16402784338478427	0.10995819256831282	0.10617452293820301	0.05898571535298073	0.3566638057763317	0.5878217839837594	0.623784881439724	0.3916215718582512	0.20719414895963792	0.02062311720963777	0.022719077236391702	0.01984132353140146	0.3196283156375795	0.013750509577707879	0.3742309273814265	0.0029401089569789937	0.004748999521746983	0.008185597466259045	0.031005854922858907	0.005257841908258953	0.427754087357355	0.5431736587885315	0.45377211037820814	0.014944671479001869	0.008913859748920108
MIT9201	0.9596206924592924	0.9374043300231522	0.9106843034268985	0.9252291295945506	0.9525237739892467	0.9693581022903393	0.9621176788550218	0.9694669268890037	0.953183896829497	0.9508471576449878	0.958258591163921	0.9427313539215123	0.027667159367047434	0.0357375198515202	0.1473538880278591	0.807636975489352	0.2691322015575072	0.839188933853778	0.16409194841474847	0.2641340432045615	0.16776089202686412	0.16165176606777262	0.09078781834184796	0.5398052876796203	0.8269916097430304	0.8589214645160056	0.6020451849300652	0.30974470466678145	0.029804785412241932	0.03453028433117119	0.027414829803111187	0.5235413916154832	0.024886750664906337	0.5855684231674416	0.004024118401163347	0.00497543673344431	0.013790827162619826	0.056728708646652505	0.006556981038210589	0.6738329458699271	0.8042054130072901	0.7055672751277194	0.02267797007443124	0.015004639993877121
MIT9202	0.9082398387658421	0.8769767767712139	0.8477185000115286	0.8572718248748266	0.8897184846401289	0.9035669332816224	0.900679474983934	0.9087595103145047	0.8864532446364162	0.8735046140803203	0.8907058014618201	0.8773622441770478	0.024573547121912342	0.032227321716890744	0.12146539099815366	0.708762229869822	0.22449278815314408	0.7338004662263746	0.13355795283699873	0.21287614849481482	0.1330341428345925	0.1353924702607758	0.06957213709160112	0.45666299920837294	0.7119210524915561	0.7434602084716513	0.5021528827581967	0.2581147687816333	0.027928059484951695	0.0342847244351454	0.02608762998439803	0.4605129436052908	0.018776164634784414	0.5169259802075493	0.005194941863593017	0.004463026758650699	0.010976361743424146	0.042049646073523766	0.004771637166388898	0.5896776321896027	0.7104814617964554	0.6153041201854264	0.01653075787503407	0.014161788710652911
MIT9211	0.0038058856233085035	0.0024287092138785753	0.0029609884882025243	0.002656659737365472	0.003644247979381431	0.004201394583540315	0.003467808353409755	0.003969891584362712	0.003130915242074575	0.003215582579369708	0.01977189553589984	0.008251216870943887	0.0009414060580367955	0.0009425902166003636	0.0008212139638346135	0.0019212972693895603	0.0010752159757200128	0.002304964643985688	0.0009502872472635576	0.0010610060729571932	0.0010124555718508932	0.0013499407624678575	0.0012765229315266232	0.0012516556016916888	0.0014417130511444004	0.0017377526920364745	0.0013896100743473953	0.001156330837324441	0.0011687645022419083	0.0010420595359401006	0.0011894872771043533	0.0017253190271190072	0.0011160694461631192	0.0015411823704841374	0.0005802376961484651	0.001099491226273163	0.0011202140011356081	0.0012504714431281205	0.0008448971351059792	0.001288364517162306	0.0018822200367918066	0.0012096179726850144	0.0010953466713006738	0.001187711039259001
MIT9215	0.9097372310629805	0.8697191725280223	0.8418883246395482	0.8569102651844098	0.8896594758423961	0.9146866499117202	0.9089878593734724	0.920519441680709	0.8969496028847647	0.8818810782210618	0.905801160577183	0.8884425376267404	0.02240408559975615	0.02969536286728127	0.11729133477878295	0.695914975356426	0.21136479965953336	0.7273397017466169	0.12975747502573629	0.20242467463005884	0.13309830399300662	0.13207862939170342	0.0737162049471184	0.437208058477447	0.7020681048315208	0.7349898492629933	0.48691963951943595	0.2516784660597312	0.024988066414000542	0.033044818523225925	0.023525555127416192	0.441030831785322	0.019146647956337453	0.5058563713846985	0.0029733320297448225	0.004289764721444223	0.007507519596961105	0.04545689818782027	0.004836121670817062	0.5823843017270631	0.7007516721398214	0.6032643389943582	0.017453516525859938	0.012638674020439502
MIT9301	0.9598508781706813	0.9560722806004583	0.951911803488564	0.9541689734749028	0.9619356846637298	0.9617316501398703	0.9654657864556402	0.9622834569417112	0.9585949999969547	0.9594659533376089	0.9696883875121126	0.9628620623078802	0.07348166338688783	0.08650393847536877	0.31974158875288616	0.9241691988264665	0.5280212488252788	0.9303706302352366	0.347306957455452	0.5155501714803588	0.3645378252599613	0.35610358619605953	0.2074288056549843	0.8036018488573153	0.9223341062282909	0.93165026168189	0.8339445233174917	0.6031583326176898	0.08313219183630463	0.10527328749560717	0.08343793909295387	0.8203436428628419	0.06544209408854124	0.856577738067178	0.010659738019671364	0.013838413183919157	0.031770307068913116	0.15346624203123374	0.020188454813052606	0.8877913658680086	0.9292523992328302	0.9001168782839661	0.05987773764083711	0.03866362868396514
MIT9302	0.9173108093939129	0.8873573847662035	0.865898565496868	0.9057388719581194	0.9538629369699824	0.9455511037085547	0.9338599919901132	0.9168455713289594	0.9073087639506963	0.9342593404276409	0.9676974669162451	0.9647708215519815	0.03540221033917115	0.044140893795660795	0.17740352469399998	0.8147332644643488	0.3138408897276925	0.8307381414426849	0.20056229635091785	0.30346241397822665	0.20763540461674296	0.20673644091734403	0.10986379181627909	0.5606485372789188	0.7788612324339685	0.8076286437680158	0.6053589466368502	0.3623906590280535	0.036784173655264325	0.04541915256771878	0.03397040008754726	0.5265400554504186	0.03227388541965677	0.5891598384959289	0.004085156900391499	0.005186373108323121	0.011589698987534255	0.05982205216968814	0.00702841790983205	0.6407256338725397	0.7535596155025115	0.669642586013179	0.02266087525489259	0.015290977189010985
MIT9303	0.0021217627927348636	0.0010977848602607473	0.0025970346762093804	0.0019912960011928393	0.0034778719002488186	0.0016215158377365876	0.002929911375772317	0.0018194525986189158	0.0015730567437352643	0.0024770052279907183	0.0908186791169262	0.019187937413216286	0.0014865758990559796	0.0017143336408621992	0.0016498457696142842	0.0027465123430903855	0.0014668194991939016	0.0018667934058355933	0.0030629875031451814	0.004063854175403283	0.00323073052084207	0.0031569235930554392	0.003270243320566226	0.0018291444174191804	0.0020781496081336724	0.0014504179596857615	0.0022123440222911834	0.003926304900891834	0.004146980159728629	0.004602122881079519	0.003796210871611358	0.0034644524588330677	0.003224393562395743	0.0025336650917461116	0.0027651504561678176	0.0027808064711528605	0.002825165180277149	0.0056231187154612465	0.0030898263859766837	0.002919474032448955	0.002494897816545053	0.0008827010353471814	0.0025470845331618626	0.0032814261884126852
MIT9311	0.9143696553723297	0.8926889935151461	0.8749088286586592	0.921205752677866	0.9558023545583333	0.9418718411467952	0.9245977941210849	0.9089356096557464	0.9017564509568315	0.941375658654498	0.9613842614887579	0.9650498169559993	0.03823059803724466	0.045798403800208526	0.18101485391545846	0.8233344866118392	0.31501627057783926	0.8401912494214127	0.19595701855687456	0.29425842633589394	0.19977861728141086	0.19514115193820922	0.11075915336889795	0.5651477677047732	0.7846497851629162	0.8138777976744295	0.6109818218371726	0.36607631275042896	0.03166450816567937	0.04768787140632963	0.03645217244942328	0.5254227778738844	0.02916197173220873	0.583258136457783	0.0050863088698026495	0.0045696712688712985	0.0134571237545761	0.06064355278353118	0.00677648527465951	0.64517633472506	0.7584689994062174	0.6743990873514959	0.022393084069327624	0.014518451676851363
MIT9313	0.0016019093498496188	0.001062270803978476	0.0027342792424155066	0.0020270665439448697	0.0023004115106851335	0.0018549297287745975	0.0024285808501733606	0.0021257859704762547	0.001452585847533238	0.0018823057041992672	0.11325565469437834	0.032312776326251944	0.0016446324630123611	0.0013866346340101698	0.0014965533232152834	0.0022348750846685	0.001288329994985219	0.0014895019356058988	0.0016197452126262976	0.0023269579110969346	0.001736715289440796	0.0020117194062067973	0.0019341541425035662	0.0010012970405326204	0.0012879152074787847	0.0014488527599753284	0.0016989696263552663	0.002120808520399042	0.00308975213542978	0.003518227629576506	0.0027106363545487465	0.0022697172352089887	0.0030192382593359334	0.0017118280390547324	0.0019279323299070503	0.0024285808501733606	0.0024202851000446725	0.0034356849157960623	0.002607354265446583	0.0015849030620858089	0.0011099713672184308	0.000869394613486484	0.0018146953406504615	0.0028421239940884485
