"","HOT_224_25M","HOT_225_25M","HOT_226_25M","HOT_227_25M","HOT_229_25M","HOT_231_25M","HOT_232_25M","HOT_233_25M","HOT_234_25M","HOT_236_25M","HOT_237_25M","HOT_238_25M","KFe386HP","KFe387AR","KFe389R8","KFe393NT","KFe395NB","KFe416ST","KMa156HP","KMa157AR","KMa158CB","KMa159R8","KMa160SB","KMa161R2","KMa162ST","KMa163NT","KMa164NR","KMa165NB","KOc290HP","KOc291AR","KOc293R8","KOc297NT","KOc299NB","KOc321ST","KSe054HP","KSe055AR","KSe056CB","KSe057R8","KSe058SB","KSe059R2","KSe060ST","KSe061NT","KSe062NR","KSe063NB"
"MED4__HL_I",0.283612547388345,0.32046427118932,0.245552587946457,0.485085305458192,0.382676871685107,0.574348324688039,0.227995213491353,0.250354233456225,0.110113626973023,0.182634879776075,0.201610252204795,0.125066120171181,0,0,0,0.242338300161449,0,0.261720911503126,0,0,0,0,0,0,0.181008503658511,0.223152223172033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIT9107__HL_II",1.94470572092419,2.09325805786169,2.07353474471569,2.38112169069586,2.30553296114854,2.3822877388981,2.00294025515193,2.01043460668782,1.72857046860878,2.09152323150896,2.38576484658094,2.20258143839956,0,0,0,2.16401246720484,0,2.2166918248158,0,0,0,0,0,0.726525228603201,1.92436209701882,2.12153655811361,0.581745956103936,0,0,0,0,0.36574743170297,0,0.485208581085083,0,0,0,0,0,0.677262900686255,1.33370584420306,1.25189666911196,0,0
"MIT9201__HL_II",3.97903820700561,4.21577053429593,4.18026333860412,4.36864000723513,3.95314207599358,4.44355990391972,4.10290829971801,4.31314008906039,3.90253301576702,4.17118215504382,4.20600037796614,3.9312071213238,0,0,0,3.85091493937534,0.269615041309116,3.99329804168273,0,0.0342661587510516,0,0,0,1.50113280221278,3.81618417472439,4.075407500053,1.25099812857512,0.0709755841632194,0,0,0,0.946206781549669,0,1.13978251164008,0,0,0,0,0,1.61217588379333,3.08493096795469,3.03516858027798,0,0
"MIT9202__HL_II",3.36456396048132,3.45928853566486,3.51221239075224,3.51769744950698,3.13118243361529,3.42545224585174,3.24335278614482,3.37295621394896,3.2456755937065,3.31997196149144,3.22920950557051,3.15143180763713,0,0,0,2.93249087570653,0,3.01403878472868,0,0,0,0,0,1.06587266711232,2.8066754664685,3.06497108925682,0.860413666007299,0.0451714247950935,0,0,0,0.730211124385077,0,0.926919318168854,0,0,0,0,0,1.32704599583197,2.59656464287113,2.43566067812083,0,0
"MIT9211__LL_III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIT9215__HL_II",3.14048962825723,3.24566878692882,3.23356816642942,3.22921548930754,2.91629444502191,3.18285033006908,3.02011805283397,3.13509084826208,2.99209247418851,3.0905269373303,3.07304996103965,2.98301810058649,0,0,0,2.68421251784554,0,2.8149303156766,0,0,0,0,0,0.983429237927792,2.63561073080644,2.87667215099895,0.786550493574106,0.0433650347226016,0,0,0,0.632592420812011,0,0.863573298161992,0,0,0,0,0,1.23329011423163,2.38156410462011,2.26491695657143,0,0
"MIT9301__HL_II",13.3594633193302,13.5425674745002,13.4663408000585,12.9548041370072,12.4591957684051,12.7715626991101,13.1523288015864,13.3182238700581,13.3301561696422,13.1116406907101,12.7333849207201,12.3060598802283,0,0,0.57973071347269,11.7983383670971,1.65992344014305,12.346004248684,0.145822784720836,0.24776753687203,0.199098047255636,0.209973913497662,0,5.47109161346464,11.7808081645564,12.7577329075752,4.23154948222818,0.417662239602059,0,0,0,3.92197643839726,0,4.77681806468883,0,0,0,0,0,6.4705862986359,11.733968510672,11.9567071966938,0,0
"MIT9302__HL_II",4.50178438977483,4.66143116376623,4.60761159857845,5.37460631103386,5.62133349372271,5.49776488524318,4.74268932366933,4.67219132011228,4.22804179528926,5.04508116507056,5.84367229359281,5.43974912508,0,0,0,5.5078149411147,0.535133917073999,5.56077554047617,0,0.0695610246875437,0,0,0,2.07622891304681,4.72301658054796,5.14757662966443,1.64537218103485,0.135193454525445,0,0,0,1.11056594608001,0,1.40038897485568,0,0,0,0,0,1.87715705087283,3.43591213380572,3.45637102300954,0,0
"MIT9303__LL_IV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIT9311__HL_II",4.62297737246713,4.81930286459692,4.79439796271278,5.66163081465159,5.85466301063771,5.67410501702901,4.71604105020043,4.73277573827906,4.24132908114608,5.105873095237,5.9906828658594,5.67381133973617,0,0,0,5.483915373346,0.507941365324932,5.55839691951932,0,0.0620467560100203,0,0,0,2.12019827757386,4.69252603104067,5.13111064143689,1.64576992002809,0.13308841839459,0,0,0,1.0951905252772,0,1.34894599267295,0,0,0,0,0,1.79776814199718,3.36985968948264,3.4137377064199,0,0
